func,v
E,f,975.214
E,f,1012.42
E,f,1048.1
E,f,1082.26
E,f,1114.91
E,f,1146.04
E,f,1175.65
E,f,1203.74
E,f,1230.31
E,f,1255.37
E,f,1278.9
E,f,1300.92
E,f,1321.42
E,f,1340.4
E,f,1357.86
E,f,1373.8
E,f,1388.23
E,f,1401.14
E,f,1412.52
E,f,1422.39
E,f,1430.75
E,f,1437.58
E,f,1442.89
E,f,1446.69
E,f,1448.97
E,f,1449.73
E,f,1448.97
E,f,1446.69
E,f,1442.89
E,f,1437.58
E,f,1430.75
E,f,1422.39
E,f,1412.52
E,f,1401.14
E,f,1388.23
E,f,1373.8
E,f,1357.86
E,f,1340.4
E,f,1321.42
E,f,1300.92
E,f,1278.9
E,f,1255.37
E,f,1230.31
E,f,1203.74
E,f,1175.65
E,f,1146.04
E,f,1114.91
E,f,1082.26
E,f,1048.1
E,f,1012.42
E,f,975.214
E,f,936.494
E,f,896.256
E,f,854.499
E,f,811.223
E,f,766.429
E,f,720.117
E,f,672.286
E,f,622.937
E,f,572.07
E,f,519.684
E,f,465.779
E,f,410.356
E,f,353.415
E,f,294.955
E,f,234.977
E,f,173.48
E,f,110.465
E,f,45.9314
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,27.7183
E,f,93.7703
E,f,158.304
E,f,221.319
E,f,282.816
E,f,342.794
E,f,401.254
E,f,458.195
E,f,513.618
E,f,567.522
E,f,619.909
E,f,670.776
E,f,720.125
E,f,767.956
E,f,814.268
E,f,859.062
E,f,902.338
E,f,944.095
E,f,984.333
E,f,1023.05
E,f,1060.26
E,f,1095.94
E,f,1130.1
E,f,1162.75
E,f,1193.88
E,f,1223.49
E,f,1251.58
E,f,1278.15
E,f,1303.2
E,f,1326.74
E,f,1348.76
E,f,1369.26
E,f,1388.24
E,f,1405.7
E,f,1421.64
E,f,1436.07
E,f,1448.97
E,f,1460.36
E,f,1470.23
E,f,1478.58
E,f,1485.42
E,f,1490.73
E,f,1494.53
E,f,1496.81
E,f,1497.56
E,f,1496.81
E,f,1494.53
E,f,1490.73
E,f,1485.42
E,f,1478.58
E,f,1470.23
E,f,1460.36
E,f,1448.97
E,f,1436.07
E,f,1421.64
E,f,1405.7
E,f,1388.24
E,f,1369.26
E,f,1348.76
E,f,1326.74
E,f,1303.2
E,f,1278.15
E,f,1251.58
